description,category
swiggy order food delivery,Food
zomato restaurant payment,Food
uber trip to office,Travel
ola cab ride airport,Travel
electricity bill payment,Bills
water bill online payment,Bills
amazon purchase order,Shopping
flipkart fashion order,Shopping
salary credit from employer,Others
refund from merchant,Others
metro card recharge,Travel
restaurant dinner with friends,Food
grocery store purchase,Shopping
gas bill payment,Bills
bus ticket booking,Travel
cafe breakfast order,Food
online shopping payment,Shopping
mobile recharge bill,Bills
interest credit from bank,Others
cashback refund from card,Others
